cond_A,cond_B,pref,sample,user
lemas-tts,lemas-edit,50,zh_emilia_zh_0010428708.wav,user_1983e4eb
lemas-edit,lemas-tts,50,de_ry-I_yedAh4-00449-00140222-00140614.wav,user_1983e4eb
lemas-tts,lemas-edit,50,zh_emilia_zh_0008046522.wav,user_1983e4eb
lemas-edit,lemas-tts,84,en_AUD0000000214_S0001522.wav,user_1983e4eb
lemas-edit,lemas-tts,0,zh_emilia_zh_0010428708.wav,user_0371fb8b
lemas-edit,lemas-tts,-3,de_ry-I_yedAh4-00449-00140222-00140614.wav,user_0371fb8b
lemas-edit,lemas-tts,73,zh_emilia_zh_0010428708.wav,user_dfee6156
lemas-edit,lemas-tts,73,de_ry-I_yedAh4-00449-00140222-00140614.wav,user_dfee6156
lemas-edit,lemas-tts,69,zh_emilia_zh_0008046522.wav,user_dfee6156
lemas-tts,lemas-edit,56,en_AUD0000000214_S0001522.wav,user_dfee6156
lemas-tts,lemas-edit,38,it_6Tz43e7PlX0-00034-00019174-00019660.wav,user_dfee6156
lemas-tts,lemas-edit,34,zh_emilia_zh_0008385782.wav,user_dfee6156
lemas-edit,lemas-tts,26,pt_4jD-2FN5T88-00020-00009956-00010488.wav,user_dfee6156
lemas-tts,lemas-edit,13,pt_wrSQ5ZZl9pI-00016-00009856-00010404.wav,user_dfee6156
lemas-edit,lemas-tts,78,de_z_lWiX5LYbI-00008-00006956-00007617.wav,user_dfee6156
lemas-edit,lemas-tts,38,fr_Paqqb-OkMmA-00060-00025766-00026389.wav,user_dfee6156
lemas-edit,lemas-tts,37,es_p3JZGFyD1q4-00001-00000450-00001068.wav,user_dfee6156
lemas-tts,lemas-edit,29,it_szkmi570-lu-00031-00019642-00020368.wav,user_dfee6156
lemas-edit,lemas-tts,78,fr_58M3QvaxFFM-00010-00007162-00007648.wav,user_dfee6156
lemas-edit,lemas-tts,28,en_YOU1000000173_S0000098.wav,user_dfee6156
lemas-edit,lemas-tts,50,es_A7Ftr5PrvdY-00120-00052329-00052955.wav,user_dfee6156
lemas-edit,lemas-tts,26,en_YOU0000001317_S0000011.wav,user_dfee6156
lemas-tts,lemas-edit,73,fr_RUTidfuQzBw_0019.wav,user_dfee6156
lemas-edit,lemas-tts,31,es_39sUNIQS27U-00053-00032388-00033054.wav,user_dfee6156
lemas-tts,lemas-edit,78,it_3lx6y-fUnyc-00002-00001129-00001732.wav,user_dfee6156
lemas-edit,lemas-tts,15,pt_h_EjrAP1xA8-00039-00027955-00028582.wav,user_dfee6156
lemas-edit,lemas-tts,66,de_ry-I_yedAh4-00449-00140222-00140614.wav,zzy
lemas-tts,lemas-edit,58,fr_58M3QvaxFFM-00010-00007162-00007648.wav,zzy
lemas-tts,lemas-edit,39,de_z_lWiX5LYbI-00008-00006956-00007617.wav,zzy
lemas-tts,lemas-edit,32,zh_emilia_zh_0008046522.wav,zzy
lemas-edit,lemas-tts,29,pt_h_EjrAP1xA8-00039-00027955-00028582.wav,zzy
lemas-edit,lemas-tts,31,es_p3JZGFyD1q4-00001-00000450-00001068.wav,zzy
lemas-edit,lemas-tts,16,en_YOU1000000173_S0000098.wav,zzy
lemas-tts,lemas-edit,57,es_A7Ftr5PrvdY-00120-00052329-00052955.wav,zzy
lemas-edit,lemas-tts,39,pt_4jD-2FN5T88-00020-00009956-00010488.wav,zzy
lemas-edit,lemas-tts,43,pt_wrSQ5ZZl9pI-00016-00009856-00010404.wav,zzy
lemas-edit,lemas-tts,50,fr_Paqqb-OkMmA-00060-00025766-00026389.wav,zzy
lemas-edit,lemas-tts,73,de_ry-I_yedAh4-00449-00140222-00140614.wav,test_zzy
lemas-edit,lemas-tts,50,de_ry-I_yedAh4-00449-00140222-00140614.wav,user_1184f9f3
lemas-edit,lemas-tts,0,fr_58M3QvaxFFM-00010-00007162-00007648.wav,user_1184f9f3
lemas-tts,lemas-edit,50,de_z_lWiX5LYbI-00008-00006956-00007617.wav,user_1184f9f3
lemas-edit,lemas-tts,100,zh_emilia_zh_0008046522.wav,user_1184f9f3
lemas-edit,lemas-tts,0,pt_h_EjrAP1xA8-00039-00027955-00028582.wav,user_1184f9f3
lemas-edit,lemas-tts,50,es_p3JZGFyD1q4-00001-00000450-00001068.wav,user_1184f9f3
lemas-edit,lemas-tts,50,en_YOU1000000173_S0000098.wav,user_1184f9f3
lemas-edit,lemas-tts,50,es_A7Ftr5PrvdY-00120-00052329-00052955.wav,user_1184f9f3
lemas-tts,lemas-edit,23,pt_4jD-2FN5T88-00020-00009956-00010488.wav,user_1184f9f3
lemas-tts,lemas-edit,0,pt_wrSQ5ZZl9pI-00016-00009856-00010404.wav,user_1184f9f3
lemas-edit,lemas-tts,50,fr_Paqqb-OkMmA-00060-00025766-00026389.wav,user_1184f9f3
lemas-edit,lemas-tts,36,en_AUD0000000214_S0001522.wav,user_1184f9f3
lemas-edit,lemas-tts,35,it_6Tz43e7PlX0-00034-00019174-00019660.wav,user_1184f9f3
lemas-edit,lemas-tts,72,en_YOU0000001317_S0000011.wav,user_1184f9f3
lemas-tts,lemas-edit,50,zh_emilia_zh_0008385782.wav,user_1184f9f3
lemas-tts,lemas-edit,66,es_39sUNIQS27U-00053-00032388-00033054.wav,user_1184f9f3
lemas-tts,lemas-edit,71,it_szkmi570-lu-00031-00019642-00020368.wav,user_1184f9f3
lemas-tts,lemas-edit,50,it_3lx6y-fUnyc-00002-00001129-00001732.wav,user_1184f9f3
lemas-tts,lemas-edit,37,zh_emilia_zh_0010428708.wav,user_1184f9f3
lemas-tts,lemas-edit,50,fr_RUTidfuQzBw_0019.wav,user_1184f9f3
lemas-edit,lemas-tts,17,de_ry-I_yedAh4-00449-00140222-00140614.wav,user_3d7a916a
lemas-tts,lemas-edit,50,de_ry-I_yedAh4-00449-00140222-00140614.wav,user_17443s6b
lemas-edit,lemas-tts,0,fr_58M3QvaxFFM-00010-00007162-00007648.wav,user_3d7a916a
